,brent,usdngn,ttf_jkm,jkm_netback,ghi,dni,temp_c,precip_mm,aerosol_od,fx_reserves,inflation,gas_price,harmattan,fm_dummy,pipeline_down,vandalism_idx,plant_age_gas,gas_to_power,domestic_alloc,eaf,Transmission_Loss_factor,freq_collapse,load_variance,ATC&C,Tech_&_commercial_loss,collection_loss,receivables,Total_E_Billed_by_Disco,Total_E_paid_to_Disco,market_shortfall,disco_collect,Billing_efficiency,nbet_ratio,gas_cf,solar_cf,Gas_constraint,Distribution_constraint,Transmission_constraint
harmattan,-0.19990901330539765,-0.16068046463736632,-0.10292231335229707,-0.12483587184900283,0.5526685252732289,0.717487920017708,0.06109003767143034,-0.7911646275575333,0.36632692229717057,-0.29588228224556107,-0.08542580303950342,-0.25410608924308803,1.0,,0.7256955984068362,0.33251320942520896,-0.2796719027493897,-0.09282651460117732,0.0474346471035391,0.2824728440540287,0.33915282572118177,0.44435994871032675,0.12416514561674154,0.2993683913335599,0.009064741094876141,0.24382787389259156,-0.046616760093803285,-0.10493073120600054,-0.11147243202526101,0.07243529520462687,-0.2515587762790003,-0.33323994333247675,-0.09712338004682472,-0.13355673426225717,0.8805792981248282,0.03066611357001794,-0.08072997942345621,-0.22487386653882754
fm_dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pipeline_down,-0.12381158188417804,-0.15604134958819751,-0.016904671135838042,-0.06669314212518063,0.305441899814914,0.5586585451779742,-0.15419158698735966,-0.5634043486136917,0.1784424498721883,-0.15678816709672336,-0.09955318891366507,-0.23486541657201288,0.7256955984068362,,1.0,0.3602589726519315,-0.2282134986581917,-0.13421269442019557,0.03803153933133193,0.2450194898575829,0.18648867671358418,0.3837130282204879,0.0733777928943013,0.21031328441881814,0.005453091798080526,0.18223796068645384,-0.029333380406044027,-0.07132609946296185,-0.07010791960867055,0.07696250571341888,-0.1996083965263755,-0.28777708903272337,-0.10756086833849549,-0.17447801030385213,0.7569887547149351,0.017821403712460025,-0.04898720430838823,-0.18580623019517872
vandalism_idx,0.18775532294028938,0.05247449973764336,0.16373627364870735,0.23801337750184323,0.2957432423872174,0.404586533443074,-0.010751560436191906,-0.32079559863435986,-0.06896212691492908,0.2716811571230819,0.019352020100589937,0.1036511104289178,0.33251320942520896,,0.3602589726519315,1.0,0.14961462887226212,-0.057617660851577615,-0.1853933745983753,-0.15932452238705194,-0.15294394021003146,-0.18411233010750488,-0.09129754845309719,-0.1091942163254977,0.10262217027694244,-0.09748019542557387,0.006506478757531169,0.0520200239207879,0.046980415439789355,-0.05137888490771823,0.11791490524873104,-0.008142472075962987,0.06443758521992164,0.32237923998939705,0.45534728592781537,-0.36730162521875354,0.04150628509999773,0.04668588373246173
plant_age_gas,0.5544863928598924,0.8568000566983581,0.40694581314518463,0.6158343510772109,-0.015527546688855677,-0.03169159707679401,0.15416797915387634,0.21135311259886994,-0.3904747811310263,0.3792318516189647,0.7370134476136475,0.9380806769536454,-0.2796719027493897,,-0.2282134986581917,0.14961462887226212,1.0,-0.07419102785469715,0.001017576853846384,-0.8796226554092591,-0.4466512408473146,-0.6217008596620509,0.007439723002374633,-0.9248960611344567,-0.09437311223481487,-0.9547111798742776,0.581488436397081,0.6719066478831135,0.6776470766108074,0.08665118536643968,0.929445365108994,0.6259398369652642,0.8840873120991701,0.3540463421158469,-0.15316724579535984,0.07654137784809523,0.5923978443868583,-0.31515828838156396
gas_to_power,0.26852514381849996,-0.24210057320867787,0.1721018853076364,0.20869025151172438,-0.015277311206947636,-0.06812836854559258,-0.10047314354658628,0.11150712149759252,0.014516072181676288,0.036508762271878895,-0.3586171288406823,-0.00854666608264172,-0.09282651460117732,,-0.13421269442019557,-0.057617660851577615,-0.07419102785469715,1.0,-0.7104107029745,0.013781404062248278,-0.06588617793371195,-0.19210992540631966,-0.8460803733373198,0.059253616012417826,0.31271563279031206,0.12457330128810445,-0.7246027754624169,-0.6646209926324343,-0.6539210096759177,-0.8775011011629387,-0.0006060532610346944,-0.12157371826025583,-0.11164010335255592,0.22062570547696211,-0.0822455108767864,-0.2786941675865795,-0.7184250524642589,0.5414316149120938
domestic_alloc,-0.5730379412660743,0.2964543418751077,-0.5728123715143822,-0.5382824549293976,0.0009165901426202671,0.028045941095634075,0.23688752376919892,-0.1339959388326936,-0.0011643849009248049,-0.11436241691973471,0.3576274373823606,-0.08477759741837383,0.0474346471035391,,0.03803153933133193,-0.1853933745983753,0.001017576853846384,-0.7104107029745,1.0,0.10281083075985455,0.05374824131521416,0.2742184792697886,0.8008212597002612,-0.08589305213789578,-0.6378808710401374,-0.1335325756481329,0.6892653664488466,0.6274915696861578,0.6226224109689676,0.8234962117118232,-0.03064651633537066,0.29131965846295443,-0.002495723441831003,-0.47574189487557583,0.003730512226905767,0.8040007914017063,0.6780870044363458,-0.5331332007161267
eaf,-0.45551432353136206,-0.5965402105975702,-0.4352045490563412,-0.6094360756369087,-0.047482120810012844,0.013781525793561487,-0.0968284348676969,-0.2702351334783331,0.3798712188713373,-0.35353431165921095,-0.441021771624539,-0.854012779685032,0.2824728440540287,,0.2450194898575829,-0.15932452238705194,-0.8796226554092591,0.013781404062248278,0.10281083075985455,1.0,0.621578709395004,0.7108517626107091,0.0584028708573195,0.7821335218536278,-0.10831242791235798,0.8515813237948198,-0.3980058565605494,-0.4880409770630716,-0.48856329428144674,-0.015335026574225771,-0.7678420173503231,-0.565963403570885,-0.7399071975971822,-0.4502635660933887,0.16647622549598762,-0.0029805927559723206,-0.416766120470561,0.18304309663156165
Transmission_Loss_factor,-0.09792330405952207,-0.07465696041052101,-0.14025025888329973,-0.22447726462902368,0.08654820571735214,0.06498861262934924,0.06719042494398368,-0.3283542319130539,0.38899859172295215,-0.48614958837048894,0.10685573988919699,-0.39014044008255955,0.33915282572118177,,0.18648867671358418,-0.15294394021003146,-0.4466512408473146,-0.06588617793371195,0.05374824131521416,0.621578709395004,1.0,0.6718438201997912,0.2277619940559157,0.41822318855769336,-0.18163782850745147,0.4432718685042782,-0.09199905435269816,-0.20004163485570792,-0.20051130645393128,0.07530827237160284,-0.38299909416864925,-0.2965773495719797,-0.16564644871206505,-0.3545295382920858,0.17500703577640908,-0.019185251628902278,-0.16714978503280856,-0.0010723246932175445
freq_collapse,-0.37994354914659856,-0.29987681553418816,-0.26898205547928306,-0.47797164269800935,0.04255002832296878,0.146705727118389,-0.11821855799543532,-0.40439713822172646,0.4169390392737836,-0.6513106747019974,-0.1259003992102099,-0.5457461145968118,0.44435994871032675,,0.3837130282204879,-0.18411233010750488,-0.6217008596620509,-0.19210992540631966,0.2742184792697886,0.7108517626107091,0.6718438201997912,1.0,0.2981120532114592,0.5682282786228584,-0.13211893345539272,0.5302616402904744,-0.07061212580086972,-0.2074297349346307,-0.20382734958678778,0.21888924308302482,-0.5395314786539565,-0.5284733016486611,-0.3354925362298338,-0.6515835170975031,0.3235425763480487,0.14268035364794462,-0.15013327099990256,-0.30737285582726304
